"number";"title";"id";"year"
"1";" Artificial evolution for computer graphics";"17932190243825281441";"1991"
"2";" Seeing the light: Artificial evolution, real vision";"4775784430946803259";"1994"
"3";"Coevolving predator and prey robots: Do “arms races” arise in artificial evolution?";"1321777106389311401";"1998"
"4";"Explorations in design space: Unconventional electronics design through artificial evolution";"12256054224996743497";"1999"
"5";" The art of artificial evolution: A handbook on evolutionary art and music";"16560836320831105229";"2008"
"6";"Artificial evolution by DNA shuffling";"8504054418936923386";"1998"
"7";" Spatially structured evolutionary algorithms: artificial evolution in space and time";"8578937152569116021";"2006"
"8";"Towards automated artificial evolution for computer-generated images";"8196392122867811534";"1994"
"9";"Guidelines: From artificial evolution to computational evolution: a research agenda";"9689065770518005127";"2006"
"10";" Hardware Evolution: Automatic design of electronic circuits in reconfigurable hardware by artificial evolution";"10295307093244215606";"2012"
"11";"On the automatic design of robust electronics through artificial evolution";"11297514955212442385";"1998"
"12";"Uncovering the physics of flapping flat plates with artificial evolution";"17826896847341896325";"2005"
"13";"Artificial evolution extends the spectrum of viruses that are targeted by a disease-resistance gene from potato";"7629550351013173679";"2006"
"14";"Artificial evolution of life history and behavior";"7041093935872868340";"2002"
"15";"Artificial evolution: A new path for artificial intelligence?";"2073369031321299314";"1997"
"16";"Artificial evolution: a continuing SAGA";"2912096078454460067";"2001"
"17";"Aesthetic fitness and artificial evolution for the selection of imagery from the mythical infinite library";"17270087130438056264";"2001"
"18";"Open-ended artificial evolution";"14474615092249989965";"2003"
"19";" The artificial evolution of adaptive behaviour";"7039079603119211278";"1995"
"20";"Neutral search spaces for artificial evolution: A lesson from life";"18011655732485452868";"2000"
"21";"Convergence of natural and artificial evolution on an RNA loop–loop interaction: the HIV-1 dimerization initiation site";"5814148770092940730";"2000"
"22";"Artificial evolution of neural networks and its application to feedback control";"3582061341903564341";"1996"
"23";"Artificial evolution and real robots";"13792121756942621483";"1997"
"24";"Adapting granular materials through artificial evolution";"10853627514294744350";"2013"
"25";"Posthuman unbounded: artificial evolution and high-tech subcultures";"1083188225362879245";"1996"
"26";"How co-evolution can enhance the adaptive power of artificial evolution: Implications for evolutionary robotics";"8400418915521056137";"1998"
"27";"Stepwise artificial evolution of a plant disease resistance gene";"16498503245028642316";"2013"
"28";"From artificial evolution to artificial life";"1611722238724412438";"1999"
"29";"An evolutionary architecture";"13206490715080923331";"1995"
"30";"Evolutionary robotics: The next-generation-platform for on-line and on-board artificial evolution";"7427282714885795569";"2009"
"31";"Artificial evolution of active filters: a case study";"16308549618093564345";"1999"
"32";"Genome-physics interaction as a new concept to reduce the number of genetic parameters in artificial evolution";"9872160037612490466";"2003"
"33";"Artificial evolution of an enzyme active site: structural studies of three highly active mutants of Escherichia coli alkaline phosphatase";"14523031670393837075";"2002"
"34";"Artificial evolution and natural ribozymes.";"17696729538736265766";"1995"
"35";"Multilevel Darwinist Brain (MDB): Artificial evolution in a cognitive architecture for real robots";"9969052895477393636";"2010"
"36";"Studies in artificial evolution";"2234075288529473540";"1992"
"37";" Intense selective hunting leads to artificial evolution in horn size";"9025526732786518540";"2016"
"38";" Artificial evolution in the physical world";"16574796997353760318";"1997"
"39";" Using artificial evolution and selection to model insect navigation";"7067106068038138916";"2001"
"40";" Artificial intelligence through simulated evolution";"2186096176839226500";"1966"
"41";"Artificial evolution of the morphology and kinematics in a flapping-wing mini-UAV";"739076067106810464";"2007"
"42";" Embodied artificial evolution";"473832443447858435";"2012"
"43";" On the artificial evolution of neural graph grammars";"12566613905572905956";"2003"
"44";"Notes on design through artificial evolution: Opportunities and algorithms";"8423991683266123239";"2002"
"45";"Artificial life for computer graphics";"3475156111514468433";"1999"
"46";" Out of control: The rise of neo-biological civilization";"16534528949233942363";"1994"
"47";"Robogen: Robot generation through artificial evolution";"12853120095746318193";"2014"
"48";"Evolving agents for personalized information filtering";"7316123905370586460";"1993"
"49";"Breeding aesthetic objects: Art and artificial evolution";"1168046836405502266";"2002"
"50";" Artificial evolution and artificial intelligence";"12177594815758259767";"1988"
