"number";"title";"id";"year"
"1";" SPEA2: Improving the strength Pareto evolutionary algorithm";"4030732361144885810";"2001"
"2";"MOEA/D: A multiobjective evolutionary algorithm based on decomposition";"7146326768797462468";"2007"
"3";"Quantum-inspired evolutionary algorithm for a class of combinatorial optimization";"18077927523705755738";"2002"
"4";"An evolutionary algorithm that constructs recurrent neural networks";"11779954044047463823";"1994"
"5";"A simple and effective evolutionary algorithm for the vehicle routing problem";"18286076159752425641";"2004"
"6";" An evolutionary algorithm for multiobjective optimization: The strength pareto approach";"3317781397246971261";"1998"
"7";"Femtosecond pulse shaping by an evolutionary algorithm with feedback";"660227635577090264";"1997"
"8";"A multiobjective evolutionary algorithm for the sizing and siting of distributed generation";"15881838637557025756";"2005"
"9";"On measuring multiobjective evolutionary algorithm performance";"6794987874876363618";"2000"
"10";"On the analysis of the (1+ 1) evolutionary algorithm";"7472922186283507853";"2002"
"11";"A computationally efficient evolutionary algorithm for real-parameter optimization";"13696258885997537502";"2002"
"12";"Genocop III: A co-evolutionary algorithm for numerical optimization problems with nonlinear constraints";"14743056616464207752";"1995"
"13";"A novel multiobjective evolutionary algorithm for environmental/economic power dispatch";"5920671216924803019";"2003"
"14";"Variable selection in QSAR studies. I. An evolutionary algorithm";"18243331614836876507";"1994"
"15";"Evaluating the ε-domination based multi-objective evolutionary algorithm for a quick computation of Pareto-optimal solutions";"10031087337215432326";"2005"
"16";"Prediction of MHC class II-binding peptides using an evolutionary algorithm and artificial neural network.";"18446731468660371865";"1998"
"17";"DE/EDA: A new evolutionary algorithm for global optimization";"413508661017374655";"2005"
"18";"Evolutionary algorithm based offline/online path planner for UAV navigation";"13016373552824539661";"2003"
"19";"FDA-A scalable evolutionary algorithm for the optimization of additively decomposed functions";"14660016680637459061";"1999"
"20";"A multistage evolutionary algorithm for the timetable problem";"2591924829297231573";"1999"
"21";"A symbiotic evolutionary algorithm for the integration of process planning and job shop scheduling";"3175247375455898675";"2003"
"22";" Handbook of evolutionary computation";"14264335267739024498";"1997"
"23";"Multiobjective evolutionary algorithm test suites";"17850012271649066684";"1999"
"24";"A multiobjective optimization-based evolutionary algorithm for constrained optimization";"13063870386322884746";"2006"
"25";" A fast multi-objective evolutionary algorithm for finding well-spread pareto-optimal solutions";"12398682249803045103";""
"26";"An evolutionary algorithm with guided mutation for the maximum clique problem";"11149044408795042115";"2005"
"27";"Embodied evolution: Distributing an evolutionary algorithm in a population of robots";"11310442946756966191";"2002"
"28";"A graph-based evolutionary algorithm: Genetic network programming (GNP) and its extension using reinforcement learning";"5787769523084835237";"2007"
"29";" Multiobjective evolutionary algorithm research: A history and analysis";"10487301859933921186";"1998"
"30";"An evolutionary algorithm for manufacturing cell formation";"7648466434006235122";"2004"
"31";"… of resources between enzymes of carbon metabolism can dramatically increase photosynthetic rate: a numerical simulation using an evolutionary algorithm";"15058881261118954700";"2007"
"32";"Evolutionary algorithms for multiobjective optimization";"13541969223314691427";"2002"
"33";"Performance evaluation of an advanced local search evolutionary algorithm";"10424015560194952350";"2005"
"34";"Exergy, exergoeconomic and environmental analyses and evolutionary algorithm based multi-objective optimization of combined cycle power plants";"17418942702764223172";"2011"
"35";"A preference-based evolutionary algorithm for multi-objective optimization";"2551591966882095356";"2009"
"36";"Evolutionary algorithm solution to fuzzy problems: fuzzy linear programming";"7961382933365730944";"2000"
"37";"On a multi-objective evolutionary algorithm and its convergence to the pareto set";"8096686811313295261";"1998"
"38";"Evolutionary multiobjective optimization";"2652852582212624839";"2005"
"39";"Fuzzy system parameters discovery by bacterial evolutionary algorithm";"4418278593396033106";"1999"
"40";"Optimal VAR dispatch using a multiobjective evolutionary algorithm";"9180865812132997934";"2005"
"41";"Dynamic multiobjective evolutionary algorithm: adaptive cell-based rank and density estimation";"2406489453272025033";"2003"
"42";"An evolutionary algorithm for integer programming";"7550029575033292055";"1994"
"43";"A hybrid multiobjective evolutionary algorithm for solving vehicle routing problem with time windows";"921488155158563064";"2006"
"44";"Multiobjective optimization and hybrid evolutionary algorithm to solve constrained optimization problems";"10309239885293034661";"2007"
"45";"Short-term load forecasting of power systems by combination of wavelet transform and neuro-evolutionary algorithm";"8983633252788776951";"2009"
"46";"Imperialist competitive algorithm: an algorithm for optimization inspired by imperialistic competition";"11215160353791123295";"2007"
"47";"A new evolutionary algorithm for solving many-objective optimization problems";"15655957666540482864";"2008"
"48";"Reliability and costs optimization for distribution networks expansion using an evolutionary algorithm";"14825288839632598332";"2001"
"49";" Relevance Estimation and Value Calibration of Evolutionary Algorithm Parameters.";"12888575545306492990";"2007"
"50";"Max-min surrogate-assisted evolutionary algorithm for robust design";"12733490492829559564";"2006"
