"number";"title";"id";"year"
"1";"A bridging model for parallel computation";"1818527463204136022";"1990"
"2";"LogP: Towards a realistic model of parallel computation";"5281192145514578941";"1993"
"3";" Parallel computation: models and methods";"496778223723443724";"1997"
"4";"The cube-connected cycles: a versatile network for parallel computation";"11938040360191363190";"1981"
"5";"A survey of parallel algorithms for shared-memory machines";"4991161932441960821";"1988"
"6";" A general approach to mapping of parallel computation upon multiprocessor architectures";"1733915970881688449";""
"7";" Powergraph: distributed graph-parallel computation on natural graphs.";"15357588471749534419";"2012"
"8";" Algorithmic skeletons: structured management of parallel computation";"16481213176289859827";"1989"
"9";"Applying parallel computation algorithms in the design of serial algorithms";"4614178868152302229";"1983"
"10";"LogGP: incorporating long messages into the LogP model—one step closer towards a realistic model for parallel computation";"10000763281956592189";"1995"
"11";"Ab initio theory of the Si(111)-(7×7) surface reconstruction: A challenge for massively parallel computation";"17661684180301917105";"1992"
"12";"Swift: Fast, reliable, loosely coupled parallel computation";"12492521001459570126";"2007"
"13";"LogP: A practical model of parallel computation";"18002349956724323723";"1996"
"14";"The crossed cube architecture for parallel computation";"17302433788162639233";"1992"
"15";" Particle animation and rendering using data parallel computation";"14620691289909944009";"1990"
"16";" Limits to parallel computation: P-completeness theory";"15071192859873377202";"1995"
"17";"Finding the maximum, merging and sorting in a parallel computation model";"2996564147553302900";"1981"
"18";"Fast parallel computation of polynomials using few processors";"4037527414863036663";"1983"
"19";"Models and languages for parallel computation";"10772800183222540220";"1998"
"20";" Yucheng Low, Haijie Gu, Danny Bickson, Carlos Guestrin, PowerGraph: distributed graph-parallel computation on natural graphs";"17235683272342565224";""
"21";" Towards a complexity theory of synchronous parallel computation";"15291504336077758574";"1980"
"22";"A parallel computation that assigns canonical object-based frames of reference";"310337739874677065";"1981"
"23";"LogGP: Incorporating long messages into the LogP model for parallel computation";"3559315821668141147";"1997"
"24";"Architecture-independent parallel computation";"13363916665623677517";"1990"
"25";"Searching, merging, and sorting in parallel computation";"6101439256838954990";"1983"
"26";"Dynamic power-performance adaptation of parallel computation on chip multiprocessors";"7801841404041201736";"2006"
"27";" Parallel computation and conflicts in memory access";"7435845184800514498";"1982"
"28";"Scheduling of parallel computation for a computer-controlled mechanical manipulator";"5286270620911274356";"1982"
"29";"Relaxed heaps: An alternative to Fibonacci heaps with applications to parallel computation";"7952154446538784477";"1988"
"30";"Routing, merging and sorting on parallel models of computation";"5717338956790133267";"1982"
"31";" A multi-color SOR method for parallel computation.";"4543999633464522782";"1982"
"32";"Highly parallel computation";"16696990310825897953";"1990"
"33";"Block-iterative projection methods for parallel computation of solutions to convex feasibility problems";"18179023513121723625";"1989"
"34";" The semantics of a simple language for parallel programming";"9850131268234308796";"1974"
"35";"The utility of exploiting idle workstations for parallel computation";"16630230786268926735";"1997"
"36";"Parallel computation for well-endowed rings and space-bounded probabilistic machines";"14165366679721005956";"1983"
"37";" Introduction to parallel computing: design and analysis of algorithms";"8472381968125954168";"1994"
"38";" Hardware complexity and parallel computation";"1014311515858070822";"1980"
"39";"Parallel computation of primitive shape descriptions.";"1480589762271418261";"1991"
"40";"Removing randomness in parallel computation without a processor penalty";"8460497903467103358";"1993"
"41";"A fundamental theorem of asynchronous parallel computation";"18385858913432448718";"1975"
"42";"Models of parallel computation: A survey and synthesis";"2770120782262668988";"1995"
"43";" Generalized differential-integral quadrature and application to the simulation of incompressible viscous flows including parallel computation.";"11704025971368066544";"1991"
"44";"Real-time parallel computation and visualization of ultrasonic pulses in solids";"1602913091516797288";"1994"
"45";"Parallel O (log n) algorithms for computation of manipulator forward dynamics";"12063067303709424207";"1995"
"46";"Optimal parallel generation of a computation tree form";"8425957370349095491";"1985"
"47";"A comparison of some theoretical models of parallel computation";"580987439932175841";"1973"
"48";"Relations between concurrent-write models of parallel computation";"8739634619161654146";"1988"
"49";" Problems of parallel computation";"2893654309456365993";"1973"
"50";"Parallel computation of symmetry but not repetition within single visual shapes";"13051418600675701212";"1994"
