"number";"title";"id";"year"
"1";"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models";"11665166017377686868";"2013"
"2";"Declarative task delegation in OpenMOLE";"9352724239543915462";"2010"
"3";" mtk: A General-Purpose and Extensible R Environment for Uncertainty and Sensitivity Analyses of Numerical Experiments.";"8226912631937378055";"2015"
"4";" Building Scientific Workflows on the Grid: A Comparison between OpenMole and Taverna";"907410134065770359";""
"5";" Reproducible Large-Scale Neuroimaging Studies with the OpenMOLE Workflow Management System";"18248814012294141264";"2017"
"6";"Half a billion simulations: Evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model";"5750425554346314152";"2015"
"7";"Data-centric iteration in dynamic workflows";"12939673326353368649";"2015"
"8";"Dynamic steering of HPC scientific workflows: A survey";"6213305526046399686";"2015"
"9";" Utilisation de EGI par la communauté des modélisateurs en systèmes complexes";"13086277835566249443";"2011"
"10";" A workflow to process 3D+ time microscopy images of developing organisms and reconstruct their cell lineage";"3401557356897008067";"2016"
"11";"Data reduction in scientific workflows using provenance monitoring and user steering";"1867186822319577156";"2017"
"12";"Game-based tools to transmit freshwater ecology concepts";"9811718448683958405";"2016"
"13";"An incremental method for building and evaluating agent-based models of systems of cities";"12956353589593082618";"2014"
"14";"Open Computing Grid for Molecular Sciences";"944551933259537164";"2008"
"15";"Optimal viable path search for a cheese ripening process using a multi-objective EA.";"6692114317104736749";"2010"
"16";" Growing models from the bottom up. An evaluation-based incremental modelling method (EBIMM) applied to the simulation of systems of cities";"15445287396704063108";"2015"
"17";"Developmental design of synthetic bacterial architectures by morphogenetic engineering";"8159008038217381857";"2016"
"18";"Parallel stochastic simulations with rigorous distribution of pseudo‐random numbers with DistMe: Application to life science simulations";"16655472900354418000";"2012"
"19";" Agent-based Spatial Simulation with Netlogo, Volume 2: Advanced Concepts";"2973149826753441709";"2016"
"20";"SOF: Zero Configuration Simulation Optimization Framework on the Cloud";"3300020818438124785";"2016"
"21";" A new method to evaluate simulation models: the calibration profile (CP) algorithm";"15726759740229850049";"2015"
"22";"Calibration of a Density-based Model of Urban Morphogenesis";"15848250065112202064";"2017"
"23";"Large-scale social simulation, dealing with complexity challenges in high performance environments";"17041386231876381264";"2014"
"24";"Towards vulnerability minimization of grassland soil organic matter using metamodels";"12852671943115656971";"2014"
"25";"Distributed simulation optimization and parameter exploration framework for the cloud";"5678532831255814298";"2017"
"26";" Beyond corroboration: Strengthening model validation by looking for unexpected patterns";"1699663051565167789";"2015"
"27";"A new agent-based model to manage construction project risks–application to the crossroad of Bab El Karmadine at Tlemcen";"16245586406391535787";"2016"
"28";"Automated processing of zebrafish imaging data: a survey";"18097246449451717808";"2013"
"29";"NetLogo, an Open Simulation Environment";"5936595480937951871";"2017"
"30";"Indirect evidence of network effects in a system of cities";"11667984635425546006";"2018"
"31";"Questions of uncertainty in geography";"8227652364381073175";"2017"
"32";" To Develop a Database Management Tool for Multi-Agent Simulation Platform";"498487976027162127";"2015"
"33";"The GR3D model, a tool to explore the Global Repositioning Dynamics of Diadromous fish Distribution";"8331795383076944624";"2014"
"34";"Improving the performance of dataflow systems for deep neural network training";"12275736815649870153";"2017"
"35";"Génération de données synthétiques corrélées";"12922071264479613185";"2016"
"36";"Enabling rootless Linux Containers in multi-user environments: the udocker tool";"10705153140053164640";"2017"
"37";"Software and web resources for computer-aided molecular modeling and drug discovery";"7181695724912304457";"2016"
"38";"Approches distribuées à base d'agents pour modéliser et simuler les systèmes complexes spatialisés";"4078438324860032008";"2016"
"39";" Toward complex models of complex systems";"8217832953306375285";"2016"
